risk_id,project_id,sector,location,risk_category,risk_description,probability,impact,severity_label
R0296,P056,construction,Livingstone,Resource/Staffing,"A major risk: scheduling conflicts with contractors assigned to the solar power installation, which threatens to push the solar power installation significantly behind schedule.",0.73,0.67,Critical
R0297,P057,logistics,Kabwe,Schedule,"A critical risk: scope creep that is pushing back the planned milestones for the mobile money integration, which poses a serious risk to the successful completion of the mobile money integration.",0.94,0.71,Critical
R0298,P058,agribusiness,Chipata,Schedule,"A major risk: scope creep that is pushing back the planned milestones for the branch network expansion, which may require escalation to senior management to resolve issues with the branch network expansion.",0.7,0.68,Critical
R0299,P059,agribusiness,Chipata,Schedule,"A serious risk: rescheduled staff training sessions delaying the rollout of the customer database migration, which could substantially increase the overall cost of the customer database migration.",0.69,0.73,Critical
R0300,P060,agribusiness,Ndola,Resource/Staffing,"A minor risk: insufficient project management capacity to oversee the financial reporting system, which required minor adjustments but did not affect the overall plan for the financial reporting system.",0.35,0.33,Medium
R0301,P001,retail,Choma,Scope/Requirements,"A noticeable risk: a misalignment between business requirements and the technical design of the warehouse expansion project, which could delay the warehouse expansion project by one to two weeks if not addressed promptly.",0.26,0.27,Low
R0302,P002,hospitality,Chipata,Resource/Staffing,"A potentially catastrophic risk: inadequate training of end-users ahead of the the branch network expansion rollout, which poses a serious risk to the successful completion of the branch network expansion.",0.75,0.74,Critical
R0303,P003,construction,Livingstone,Technical,"A slight risk: a compatibility issue between the branch network expansion and the existing point-of-sale hardware, which caused only a brief delay to the branch network expansion.",0.21,0.17,Low
R0304,P004,manufacturing,Lusaka,External/Stakeholder,"A major risk: frequent ZESCO load shedding affecting day-to-day operations during the e-commerce platform rollout, which could substantially increase the overall cost of the e-commerce platform rollout.",0.48,0.6,High
R0305,P005,agribusiness,Ndola,External/Stakeholder,"A serious risk: dependency on a single internet service provider with no backup link for the warehouse expansion project, which could substantially increase the overall cost of the warehouse expansion project.",0.66,0.7,Critical
R0306,P006,logistics,Kitwe,External/Stakeholder,"A noticeable risk: unreliable internet connectivity at branch locations in Kitwe supporting the staff training programme, which could delay the staff training programme by one to two weeks if not addressed promptly.",0.29,0.48,Medium
R0307,P007,ICT/software services,Ndola,Resource/Staffing,"A moderate risk: reliance on part-time staff to support the staff training programme after hours, which is likely to require additional resources to keep the staff training programme on track.",0.46,0.42,Medium
R0308,P008,logistics,Kitwe,Technical,"A growing risk: a compatibility issue between the point-of-sale upgrade and the existing point-of-sale hardware, which could delay the point-of-sale upgrade by one to two weeks if not addressed promptly.",0.3,0.48,Medium
R0309,P009,manufacturing,Lusaka,Technical,"A serious risk: a delay in integrating the new inventory management system with mobile money APIs (MTN/Airtel), which threatens to push the new inventory management system significantly behind schedule.",0.46,0.58,High
R0310,P010,logistics,Livingstone,External/Stakeholder,"A noticeable risk: broader economic instability affecting business confidence in the customer database migration, which could delay the customer database migration by one to two weeks if not addressed promptly.",0.32,0.52,Medium
R0311,P011,construction,Lusaka,Technical,"A moderate risk: a performance bottleneck in the branch network expansion under the low-bandwidth conditions typical in Lusaka, which could delay the branch network expansion by one to two weeks if not addressed promptly.",0.32,0.4,Medium
R0312,P012,retail,Solwezi,Cost/Financial,"A critical risk: additional costs arising from an extended timeline for the staff training programme, which may result in the SME abandoning the staff training programme altogether.",0.79,0.6,Critical
R0313,P013,mining supply chain,Livingstone,External/Stakeholder,"A serious risk: a logistics disruption during the rainy season affecting deliveries for the financial reporting system, which threatens to push the financial reporting system significantly behind schedule.",0.56,0.79,High
R0314,P014,logistics,Livingstone,Resource/Staffing,"A minor risk: over-reliance on a single subject-matter expert for the new inventory management system, which was identified early and resolved with minimal effort.",0.24,0.26,Low
R0315,P015,manufacturing,Ndola,Resource/Staffing,"A major risk: a shortage of skilled ICT staff in Ndola able to support the staff training programme, which threatens to push the staff training programme significantly behind schedule.",0.61,0.53,High
R0316,P016,hospitality,Livingstone,Technical,"A significant risk: a compatibility issue between the new inventory management system and the existing point-of-sale hardware, which may require escalation to senior management to resolve issues with the new inventory management system.",0.66,0.58,High
R0317,P017,agribusiness,Ndola,Schedule,"A minor risk: rainy-season disruptions to site logistics for the customer database migration in Ndola, which caused only a brief delay to the customer database migration.",0.18,0.34,Low
R0318,P018,mining supply chain,Solwezi,Resource/Staffing,"A critical risk: inadequate training of end-users ahead of the the solar power installation rollout, which may result in the SME abandoning the solar power installation altogether.",0.7,0.63,High
R0319,P019,mining supply chain,Choma,Technical,"A small risk: system downtime caused by ZESCO load shedding affecting servers running the warehouse expansion project, which caused only a brief delay to the warehouse expansion project.",0.14,0.09,Low
R0320,P020,construction,Ndola,Cost/Financial,"A growing risk: ZMW depreciation against the US dollar increasing the cost of software licences for the mobile money integration, which could delay the mobile money integration by one to two weeks if not addressed promptly.",0.49,0.34,Medium
R0321,P021,manufacturing,Ndola,Cost/Financial,"A serious risk: additional costs arising from an extended timeline for the warehouse expansion project, which could substantially increase the overall cost of the warehouse expansion project.",0.74,0.59,High
R0322,P022,mining supply chain,Kabwe,Schedule,"A serious risk: rescheduled staff training sessions delaying the rollout of the new inventory management system, which threatens to push the new inventory management system significantly behind schedule.",0.62,0.64,High
R0323,P023,agribusiness,Lusaka,Schedule,"A serious risk: scope creep that is pushing back the planned milestones for the mobile money integration, which could substantially increase the overall cost of the mobile money integration.",0.7,0.79,Critical
R0324,P024,retail,Chipata,External/Stakeholder,"A growing risk: dependency on a single internet service provider with no backup link for the mobile money integration, which could delay the mobile money integration by one to two weeks if not addressed promptly.",0.26,0.27,Low
R0325,P025,mining supply chain,Lusaka,Cost/Financial,"A small risk: underestimated cloud hosting costs for the mobile money integration, which caused only a brief delay to the mobile money integration.",0.07,0.33,Low
R0326,P026,logistics,Kitwe,External/Stakeholder,"A small risk: dependency on a single internet service provider with no backup link for the customer database migration, which was identified early and resolved with minimal effort.",0.11,0.11,Low
R0327,P027,ICT/software services,Livingstone,Scope/Requirements,"A small risk: unclear requirements from management regarding the scope of the financial reporting system, which was identified early and resolved with minimal effort.",0.2,0.31,Low
R0328,P028,manufacturing,Livingstone,Schedule,"A moderate risk: the user-acceptance testing phase for the customer database migration taking longer than planned, which has raised concerns among the project team about the quality of the customer database migration.",0.44,0.49,Medium
R0329,P029,logistics,Solwezi,Scope/Requirements,"A noticeable risk: a misalignment between business requirements and the technical design of the point-of-sale upgrade, which could delay the point-of-sale upgrade by one to two weeks if not addressed promptly.",0.37,0.3,Medium
R0330,P030,logistics,Choma,Cost/Financial,"A critical risk: a budget overrun caused by unforeseen consulting fees on the new inventory management system, which could halt the new inventory management system entirely until resolved.",0.87,0.95,Critical
R0331,P031,manufacturing,Lusaka,Cost/Financial,"A major risk: currency exchange losses on international payments related to the branch network expansion, which threatens to push the branch network expansion significantly behind schedule.",0.62,0.79,Critical
R0332,P032,agribusiness,Solwezi,Scope/Requirements,"A slight risk: additional feature requests expanding the original scope of the solar power installation, which required minor adjustments but did not affect the overall plan for the solar power installation.",0.26,0.16,Low
R0333,P033,construction,Chipata,Resource/Staffing,"A critical risk: scheduling conflicts with contractors assigned to the branch network expansion, which could halt the branch network expansion entirely until resolved.",0.77,0.63,Critical
R0334,P034,construction,Livingstone,Technical,"A noticeable risk: a software bug discovered in the core module of the solar power installation, which could delay the solar power installation by one to two weeks if not addressed promptly.",0.35,0.3,Medium
R0335,P035,logistics,Ndola,External/Stakeholder,"A slight risk: a security incident at the project site affecting the warehouse expansion project, which required minor adjustments but did not affect the overall plan for the warehouse expansion project.",0.34,0.16,Low
R0336,P036,construction,Kitwe,Cost/Financial,"A slight risk: depletion of the contingency reserve allocated to the solar power installation, which required minor adjustments but did not affect the overall plan for the solar power installation.",0.27,0.18,Low
R0337,P037,manufacturing,Solwezi,External/Stakeholder,"A noticeable risk: broader economic instability affecting business confidence in the branch network expansion, which has raised concerns among the project team about the quality of the branch network expansion.",0.45,0.49,High
R0338,P038,hospitality,Lusaka,Schedule,"A significant risk: a delay in the delivery of imported equipment for the warehouse expansion project pending ZRA customs clearance, which threatens to push the warehouse expansion project significantly behind schedule.",0.71,0.72,Critical
R0339,P039,mining supply chain,Ndola,Scope/Requirements,"A serious risk: conflicting priorities among departments regarding the e-commerce platform rollout, which could substantially increase the overall cost of the e-commerce platform rollout.",0.49,0.71,High
R0340,P040,agribusiness,Choma,Technical,"A minor risk: a licensing conflict with third-party software used in the solar power installation, which caused only a brief delay to the solar power installation.",0.13,0.12,Low
R0341,P041,hospitality,Lusaka,External/Stakeholder,"A serious risk: a security incident at the project site affecting the new inventory management system, which could substantially increase the overall cost of the new inventory management system.",0.58,0.6,High
R0342,P042,retail,Kabwe,Cost/Financial,"A potentially catastrophic risk: a supplier price increase affecting the procurement plan for the branch network expansion, which could halt the branch network expansion entirely until resolved.",0.89,0.88,Critical
R0343,P043,logistics,Lusaka,Technical,"A noticeable risk: a delay in integrating the staff training programme with mobile money APIs (MTN/Airtel), which is likely to require additional resources to keep the staff training programme on track.",0.33,0.28,Medium
R0344,P044,logistics,Ndola,Technical,"A small risk: a software bug discovered in the core module of the branch network expansion, which caused only a brief delay to the branch network expansion.",0.23,0.23,Low
R0345,P045,construction,Kabwe,Schedule,"A critical risk: the user-acceptance testing phase for the financial reporting system taking longer than planned, which may result in the SME abandoning the financial reporting system altogether.",0.62,0.72,High
R0346,P046,ICT/software services,Chipata,External/Stakeholder,"A noticeable risk: dependency on a single internet service provider with no backup link for the branch network expansion, which could delay the branch network expansion by one to two weeks if not addressed promptly.",0.34,0.28,Medium
R0347,P047,ICT/software services,Ndola,Technical,"A small risk: system downtime caused by ZESCO load shedding affecting servers running the customer database migration, which was identified early and resolved with minimal effort.",0.3,0.24,Low
R0348,P048,mining supply chain,Ndola,Schedule,"A small risk: rescheduled staff training sessions delaying the rollout of the staff training programme, which caused only a brief delay to the staff training programme.",0.3,0.14,Low
R0349,P049,construction,Kabwe,Cost/Financial,"A critical risk: depletion of the contingency reserve allocated to the mobile money integration, which could halt the mobile money integration entirely until resolved.",0.73,0.73,Critical
R0350,P050,ICT/software services,Livingstone,Resource/Staffing,"A growing risk: the resignation of a key team member midway through the staff training programme, which could delay the staff training programme by one to two weeks if not addressed promptly.",0.42,0.3,Medium
R0351,P051,agribusiness,Livingstone,Scope/Requirements,"A major risk: a lack of documented standard operating procedures needed to configure the customer database migration, which may require escalation to senior management to resolve issues with the customer database migration.",0.7,0.74,Critical
R0352,P052,hospitality,Ndola,Resource/Staffing,"A potentially catastrophic risk: inadequate training of end-users ahead of the the staff training programme rollout, which could halt the staff training programme entirely until resolved.",0.92,0.85,Critical
R0353,P053,manufacturing,Kitwe,Resource/Staffing,"A severe risk: the resignation of a key team member midway through the warehouse expansion project, which may result in the SME abandoning the warehouse expansion project altogether.",0.88,0.64,Critical
R0354,P054,logistics,Chipata,External/Stakeholder,"A moderate risk: unreliable internet connectivity at branch locations in Chipata supporting the warehouse expansion project, which is likely to require additional resources to keep the warehouse expansion project on track.",0.52,0.52,High
R0355,P055,mining supply chain,Chipata,Scope/Requirements,"A growing risk: an underestimation of the complexity of business processes covered by the solar power installation, which could delay the solar power installation by one to two weeks if not addressed promptly.",0.53,0.25,Medium
R0356,P056,retail,Ndola,Schedule,"A noticeable risk: a delay in stakeholder sign-off on a key milestone for the financial reporting system, which is likely to require additional resources to keep the financial reporting system on track.",0.42,0.28,Medium
R0357,P057,agribusiness,Choma,External/Stakeholder,"A growing risk: a security incident at the project site affecting the point-of-sale upgrade, which could delay the point-of-sale upgrade by one to two weeks if not addressed promptly.",0.3,0.37,Medium
R0358,P058,mining supply chain,Lusaka,Cost/Financial,"A moderate risk: currency exchange losses on international payments related to the e-commerce platform rollout, which is likely to require additional resources to keep the e-commerce platform rollout on track.",0.53,0.52,High
R0359,P059,construction,Livingstone,Resource/Staffing,"A noticeable risk: high staff turnover during the implementation of the mobile money integration, which has raised concerns among the project team about the quality of the mobile money integration.",0.34,0.47,Medium
R0360,P060,mining supply chain,Livingstone,External/Stakeholder,"A growing risk: dependency on a single internet service provider with no backup link for the mobile money integration, which has raised concerns among the project team about the quality of the mobile money integration.",0.31,0.5,Medium
R0361,P001,retail,Kitwe,Technical,"A critical risk: a software bug discovered in the core module of the branch network expansion, which could halt the branch network expansion entirely until resolved.",0.71,0.78,Critical
R0362,P002,agribusiness,Livingstone,Schedule,"A slight risk: scope creep that is pushing back the planned milestones for the new inventory management system, which caused only a brief delay to the new inventory management system.",0.19,0.33,Low
R0363,P003,retail,Kabwe,Resource/Staffing,"A noticeable risk: reliance on part-time staff to support the branch network expansion after hours, which could delay the branch network expansion by one to two weeks if not addressed promptly.",0.45,0.32,Medium
R0364,P004,logistics,Solwezi,Resource/Staffing,"A potentially catastrophic risk: the resignation of a key team member midway through the financial reporting system, which poses a serious risk to the successful completion of the financial reporting system.",0.66,0.91,Critical
R0365,P005,manufacturing,Livingstone,Technical,"A small risk: a performance bottleneck in the warehouse expansion project under the low-bandwidth conditions typical in Livingstone, which required minor adjustments but did not affect the overall plan for the warehouse expansion project.",0.24,0.25,Low
R0366,P006,construction,Choma,External/Stakeholder,"A minor risk: a logistics disruption during the rainy season affecting deliveries for the new inventory management system, which caused only a brief delay to the new inventory management system.",0.24,0.23,Low
R0367,P007,hospitality,Kabwe,Cost/Financial,"A serious risk: depletion of the contingency reserve allocated to the staff training programme, which could substantially increase the overall cost of the staff training programme.",0.71,0.61,High
R0368,P008,agribusiness,Ndola,Scope/Requirements,"A major risk: incomplete requirements gathering due to limited stakeholder availability for the customer database migration, which could substantially increase the overall cost of the customer database migration.",0.6,0.68,High
R0369,P009,ICT/software services,Solwezi,Resource/Staffing,"A major risk: high staff turnover during the implementation of the mobile money integration, which threatens to push the mobile money integration significantly behind schedule.",0.64,0.75,Critical
R0370,P010,logistics,Kabwe,Schedule,"A slight risk: rescheduled staff training sessions delaying the rollout of the new inventory management system, which caused only a brief delay to the new inventory management system.",0.25,0.27,Low
R0371,P011,agribusiness,Kabwe,Resource/Staffing,"A moderate risk: over-reliance on a single subject-matter expert for the customer database migration, which has raised concerns among the project team about the quality of the customer database migration.",0.42,0.55,High
R0372,P012,logistics,Choma,External/Stakeholder,"A significant risk: a change in data protection regulations affecting the design of the branch network expansion, which could substantially increase the overall cost of the branch network expansion.",0.6,0.75,High
R0373,P013,logistics,Kitwe,Schedule,"A minor risk: rainy-season disruptions to site logistics for the staff training programme in Kitwe, which caused only a brief delay to the staff training programme.",0.25,0.12,Low
R0374,P014,ICT/software services,Chipata,Cost/Financial,"A serious risk: a budget overrun caused by unforeseen consulting fees on the solar power installation, which could substantially increase the overall cost of the solar power installation.",0.59,0.49,High
R0375,P015,ICT/software services,Kabwe,Scope/Requirements,"A critical risk: additional feature requests expanding the original scope of the mobile money integration, which could halt the mobile money integration entirely until resolved.",0.74,0.9,Critical
R0376,P016,logistics,Kitwe,Scope/Requirements,"A moderate risk: a lack of documented standard operating procedures needed to configure the point-of-sale upgrade, which is likely to require additional resources to keep the point-of-sale upgrade on track.",0.51,0.3,Medium
R0377,P017,agribusiness,Lusaka,Schedule,"A serious risk: a dependency on an external consultant whose availability is delaying the solar power installation, which could substantially increase the overall cost of the solar power installation.",0.59,0.52,High
R0378,P018,hospitality,Kabwe,Technical,"A major risk: a software bug discovered in the core module of the warehouse expansion project, which threatens to push the warehouse expansion project significantly behind schedule.",0.57,0.79,Critical
R0379,P019,logistics,Lusaka,External/Stakeholder,"A moderate risk: frequent ZESCO load shedding affecting day-to-day operations during the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.48,0.41,Medium
R0380,P020,construction,Chipata,Schedule,"A major risk: a dependency on an external consultant whose availability is delaying the solar power installation, which threatens to push the solar power installation significantly behind schedule.",0.48,0.63,High
R0381,P021,logistics,Choma,Cost/Financial,"A serious risk: currency exchange losses on international payments related to the staff training programme, which could substantially increase the overall cost of the staff training programme.",0.58,0.69,High
R0382,P022,agribusiness,Kabwe,Schedule,"A moderate risk: scope creep that is pushing back the planned milestones for the warehouse expansion project, which has raised concerns among the project team about the quality of the warehouse expansion project.",0.32,0.47,Medium
R0383,P023,logistics,Ndola,Scope/Requirements,"A small risk: incomplete requirements gathering due to limited stakeholder availability for the warehouse expansion project, which required minor adjustments but did not affect the overall plan for the warehouse expansion project.",0.26,0.29,Low
R0384,P024,agribusiness,Ndola,Scope/Requirements,"A major risk: an underestimation of the complexity of business processes covered by the new inventory management system, which threatens to push the new inventory management system significantly behind schedule.",0.46,0.49,High
R0385,P025,agribusiness,Livingstone,Resource/Staffing,"A growing risk: high staff turnover during the implementation of the warehouse expansion project, which has raised concerns among the project team about the quality of the warehouse expansion project.",0.34,0.45,Medium
R0386,P026,retail,Ndola,Schedule,"A major risk: scope creep that is pushing back the planned milestones for the customer database migration, which may require escalation to senior management to resolve issues with the customer database migration.",0.53,0.72,High
R0387,P027,logistics,Livingstone,Cost/Financial,"A minor risk: depletion of the contingency reserve allocated to the branch network expansion, which was identified early and resolved with minimal effort.",0.26,0.14,Low
R0388,P028,agribusiness,Livingstone,Resource/Staffing,"A serious risk: reliance on part-time staff to support the solar power installation after hours, which threatens to push the solar power installation significantly behind schedule.",0.45,0.48,Medium
R0389,P029,ICT/software services,Ndola,Scope/Requirements,"A severe risk: incomplete requirements gathering due to limited stakeholder availability for the mobile money integration, which poses a serious risk to the successful completion of the mobile money integration.",0.83,0.76,Critical
R0390,P030,logistics,Chipata,Schedule,"A slight risk: a contractor delay affecting the implementation timeline of the new inventory management system, which was identified early and resolved with minimal effort.",0.29,0.14,Low
R0391,P031,construction,Kitwe,Technical,"A potentially catastrophic risk: a security vulnerability discovered in the authentication module of the new inventory management system, which may result in the SME abandoning the new inventory management system altogether.",0.72,0.91,Critical
R0392,P032,hospitality,Ndola,Cost/Financial,"A small risk: depletion of the contingency reserve allocated to the warehouse expansion project, which caused only a brief delay to the warehouse expansion project.",0.17,0.19,Low
R0393,P033,agribusiness,Kitwe,Schedule,"A serious risk: the user-acceptance testing phase for the mobile money integration taking longer than planned, which may require escalation to senior management to resolve issues with the mobile money integration.",0.74,0.75,Critical
R0394,P034,hospitality,Kitwe,Scope/Requirements,"A growing risk: additional feature requests expanding the original scope of the point-of-sale upgrade, which is likely to require additional resources to keep the point-of-sale upgrade on track.",0.48,0.43,Medium
R0395,P035,agribusiness,Choma,Technical,"A critical risk: system downtime caused by ZESCO load shedding affecting servers running the customer database migration, which may result in the SME abandoning the customer database migration altogether.",0.62,0.83,Critical
R0396,P036,hospitality,Ndola,Scope/Requirements,"A severe risk: an underestimation of the complexity of business processes covered by the branch network expansion, which could halt the branch network expansion entirely until resolved.",0.83,0.69,Critical
R0397,P037,agribusiness,Lusaka,Scope/Requirements,"A major risk: a lack of documented standard operating procedures needed to configure the financial reporting system, which threatens to push the financial reporting system significantly behind schedule.",0.64,0.5,High
R0398,P038,logistics,Livingstone,Resource/Staffing,"A minor risk: insufficient project management capacity to oversee the solar power installation, which caused only a brief delay to the solar power installation.",0.34,0.07,Low
R0399,P039,mining supply chain,Choma,Technical,"A major risk: a compatibility issue between the point-of-sale upgrade and the existing point-of-sale hardware, which could substantially increase the overall cost of the point-of-sale upgrade.",0.48,0.62,High
R0400,P040,hospitality,Kabwe,Technical,"A serious risk: a security vulnerability discovered in the authentication module of the mobile money integration, which may require escalation to senior management to resolve issues with the mobile money integration.",0.46,0.64,High
R0401,P041,logistics,Solwezi,External/Stakeholder,"A noticeable risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the point-of-sale upgrade, which has raised concerns among the project team about the quality of the point-of-sale upgrade.",0.5,0.49,High
R0402,P042,mining supply chain,Solwezi,Scope/Requirements,"A serious risk: unclear requirements from management regarding the scope of the point-of-sale upgrade, which could substantially increase the overall cost of the point-of-sale upgrade.",0.48,0.72,High
R0403,P043,retail,Solwezi,External/Stakeholder,"A moderate risk: a security incident at the project site affecting the staff training programme, which could delay the staff training programme by one to two weeks if not addressed promptly.",0.26,0.3,Low
R0404,P044,hospitality,Ndola,Schedule,"A moderate risk: a delay in stakeholder sign-off on a key milestone for the e-commerce platform rollout, which could delay the e-commerce platform rollout by one to two weeks if not addressed promptly.",0.31,0.5,Medium
R0405,P045,mining supply chain,Ndola,Technical,"A significant risk: a delay in integrating the financial reporting system with mobile money APIs (MTN/Airtel), which could substantially increase the overall cost of the financial reporting system.",0.59,0.66,High
R0406,P046,mining supply chain,Kabwe,External/Stakeholder,"A minor risk: a change in data protection regulations affecting the design of the new inventory management system, which required minor adjustments but did not affect the overall plan for the new inventory management system.",0.33,0.28,Medium
R0407,P047,hospitality,Solwezi,Technical,"A significant risk: system downtime caused by ZESCO load shedding affecting servers running the customer database migration, which could substantially increase the overall cost of the customer database migration.",0.58,0.66,High
R0408,P048,construction,Choma,Cost/Financial,"A growing risk: additional costs arising from an extended timeline for the staff training programme, which has raised concerns among the project team about the quality of the staff training programme.",0.29,0.43,Medium
R0409,P049,manufacturing,Livingstone,Cost/Financial,"A growing risk: currency exchange losses on international payments related to the branch network expansion, which has raised concerns among the project team about the quality of the branch network expansion.",0.31,0.46,Medium
R0410,P050,retail,Solwezi,External/Stakeholder,"A slight risk: a security incident at the project site affecting the warehouse expansion project, which required minor adjustments but did not affect the overall plan for the warehouse expansion project.",0.28,0.22,Low
R0411,P051,agribusiness,Kabwe,Scope/Requirements,"A serious risk: unclear requirements from management regarding the scope of the staff training programme, which may require escalation to senior management to resolve issues with the staff training programme.",0.61,0.46,High
R0412,P052,ICT/software services,Chipata,Cost/Financial,"A small risk: a supplier price increase affecting the procurement plan for the warehouse expansion project, which required minor adjustments but did not affect the overall plan for the warehouse expansion project.",0.09,0.07,Low
R0413,P053,hospitality,Livingstone,Resource/Staffing,"A slight risk: high staff turnover during the implementation of the mobile money integration, which required minor adjustments but did not affect the overall plan for the mobile money integration.",0.12,0.29,Low
R0414,P054,logistics,Kabwe,Resource/Staffing,"A significant risk: high staff turnover during the implementation of the customer database migration, which threatens to push the customer database migration significantly behind schedule.",0.74,0.47,High
R0415,P055,manufacturing,Solwezi,Resource/Staffing,"A major risk: reliance on part-time staff to support the e-commerce platform rollout after hours, which threatens to push the e-commerce platform rollout significantly behind schedule.",0.68,0.79,Critical
R0416,P056,retail,Kitwe,Technical,"A potentially catastrophic risk: a security vulnerability discovered in the authentication module of the warehouse expansion project, which could halt the warehouse expansion project entirely until resolved.",0.73,0.75,Critical
R0417,P057,mining supply chain,Solwezi,Cost/Financial,"A minor risk: currency exchange losses on international payments related to the new inventory management system, which required minor adjustments but did not affect the overall plan for the new inventory management system.",0.26,0.1,Low
R0418,P058,mining supply chain,Chipata,External/Stakeholder,"A minor risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the financial reporting system, which required minor adjustments but did not affect the overall plan for the financial reporting system.",0.29,0.22,Low
R0419,P059,construction,Ndola,Schedule,"A minor risk: a delay in stakeholder sign-off on a key milestone for the branch network expansion, which was identified early and resolved with minimal effort.",0.17,0.21,Low
R0420,P060,logistics,Solwezi,External/Stakeholder,"A potentially catastrophic risk: dependency on a single internet service provider with no backup link for the solar power installation, which may result in the SME abandoning the solar power installation altogether.",0.7,0.93,Critical
